Step,Loss
1,9.656200
2,11.117200
3,10.390600
4,6.781200
5,7.257800
6,5.925800
7,7.949200
8,5.613300
9,6.832000
10,7.125000
11,4.210900
12,4.460900
13,4.511700
14,3.671900
15,3.951200
16,3.343800
17,2.646500
18,2.656200
19,1.755900
20,2.384800
21,2.345700
22,2.121100
23,1.953100
24,1.660200
25,1.815400
26,2.298800
27,1.561500
28,1.905300
29,1.674800
30,1.729500
31,2.230500
32,1.798800
33,2.003900
34,1.862300
35,2.029300
36,1.755900
37,1.675800
38,1.912100
39,1.676800
40,2.025400
41,1.834000
42,1.921900
43,1.878900
44,1.793900
45,1.431600
46,1.300800
47,1.199200
48,1.670900
49,2.246100
50,2.019500
51,2.095700
52,1.441400
53,1.677700
54,1.612300
55,1.423800
56,1.604500
57,1.598600
58,2.009800
59,1.304700
60,1.522500
61,0.998500
62,1.252000
63,2.080100
64,1.631800
65,1.781200
66,1.797900
67,1.226600
68,1.808600
69,1.696300
70,1.806600
71,1.524400
72,1.694300
73,1.285200
74,1.659200
75,1.946300
76,1.860400
77,1.460900
78,1.684600
79,1.280300
80,1.579100
81,1.604500
82,1.289100
83,1.754900
84,1.847700
85,1.352500
86,1.327100
87,1.270500
88,1.780300
89,2.050800
90,1.737300
91,1.225600
92,1.540000
93,1.468800
94,1.509800
95,1.496100
96,1.295900
97,1.471700
98,1.261700
99,1.586900
100,1.396500
101,1.646500
102,1.430700
103,1.300800
104,1.894500
105,1.600600
106,1.394500
107,1.608400
108,1.604500
109,1.565400
110,1.889600
111,1.435500
112,1.790000
113,1.326200
114,1.403300
115,1.635700
116,1.364300
117,1.628900
118,1.556600
119,1.689500
120,1.611300
121,1.223600
122,1.533200
123,1.351600
124,1.838900
125,1.292000
126,1.354500
127,1.549800
128,1.544900
129,1.582000
130,1.928700
131,1.437500
132,1.363300
133,1.619100
134,1.938500
135,1.396500
136,1.333000
137,1.324200
138,1.019500
139,1.636700
140,1.805700
141,1.486300
142,1.616200
143,1.229500
144,1.608400
145,1.542000
146,1.320300
147,1.502900
148,1.497100
149,1.353500
150,1.806600
151,1.355500
152,1.544900
153,1.435500
154,1.317400
155,1.535200
156,1.529300
157,1.027300
158,1.638700
159,1.307600
160,1.178700
161,1.720700
162,1.169900
163,1.703100
164,1.461900
165,1.560500
166,1.545900
167,1.460000
168,1.382800
169,1.335900
170,1.506800
171,1.429700
172,1.296900
173,1.373000
174,1.044900
175,1.506800
176,2.031200
177,1.424800
178,1.760700
179,1.558600
180,1.491200
181,1.569300
182,1.064500
183,1.111300
184,1.438500
185,1.904300
186,1.487300
187,1.595700
188,1.464800
189,1.782200
190,1.162100
191,1.178700
192,1.320300
193,1.137700
194,1.598600
195,1.192400
196,1.501000
197,1.364300
198,1.116200
199,1.366200
200,1.538100
201,1.153300
202,1.578100
203,1.414100
204,1.383800
205,1.585000
206,1.577100
207,1.270500
208,1.501000
209,1.912100
210,0.955600
211,1.499000
212,0.906200
213,1.418900
214,1.596700
215,1.434600
216,1.495100
217,0.967800
218,1.491200
219,1.547900
220,1.091800
221,1.087900
222,1.241200
223,0.857400
224,1.009800
225,0.856000
226,1.267600
227,1.052700
228,1.290000
229,1.184600
230,1.501000
231,1.445300
232,1.137700
233,1.007800
234,1.204100
235,1.565400
236,1.267600
237,1.698200
238,1.893600
239,1.522500
240,1.448200
241,1.458000
242,1.230500
243,1.406200
244,1.213900
245,1.568400
246,1.039100
247,1.523400
248,1.261700
249,1.228500
250,1.381800
