Step,Loss
1,2.484200
2,2.775300
3,2.788500
4,2.142000
5,2.037800
6,1.809900
7,2.081500
8,1.819400
9,1.726700
10,1.873700
11,1.593800
12,1.778800
13,1.576500
14,1.597400
15,1.413100
16,1.509300
17,1.365900
18,1.321700
19,0.918500
20,1.361200
21,1.523800
22,1.328300
23,1.126800
24,1.031300
25,1.146800
26,1.411400
27,0.952700
28,1.184800
29,1.026900
30,1.201200
31,1.454600
32,1.255800
33,1.343700
34,1.252100
35,1.349200
36,1.200500
37,1.107200
38,1.322800
39,1.165300
40,1.337100
41,1.231800
42,1.379300
43,1.219800
44,1.231300
45,0.900600
46,0.892600
47,0.712500
48,1.079800
49,1.415400
50,1.393800
51,1.272300
52,0.952200
53,1.103900
54,1.135700
55,0.891200
56,1.053600
57,1.165100
58,1.231900
59,0.912200
60,0.989500
61,0.615400
62,0.870300
63,1.459600
64,0.983200
65,1.276800
66,1.227300
67,0.858500
68,1.312500
69,1.209200
70,1.232700
71,0.986600
72,1.225000
73,0.896500
74,1.139900
75,1.350100
76,1.278300
77,0.975600
78,1.184700
79,0.888400
80,1.126500
81,1.107100
82,0.905000
83,1.195100
84,1.288900
85,0.851700
86,0.864200
87,0.778000
88,1.262800
89,1.293400
90,1.199100
91,0.809500
92,1.104900
93,1.051300
94,0.977500
95,1.098100
96,0.907000
97,1.028500
98,0.923300
99,1.129600
100,0.956900
101,1.095800
102,1.037100
103,0.845300
104,1.452700
105,1.125900
106,0.960200
107,1.172300
108,1.122000
109,1.218800
110,1.361100
111,1.005500
112,1.225300
113,0.896700
114,0.999200
115,1.098400
116,0.975100
117,1.111400
118,1.129800
119,1.067300
120,1.025100
121,0.923700
122,1.128000
123,1.012100
124,1.263100
125,0.900800
126,0.939300
127,1.204300
128,1.094700
129,0.987600
130,1.411900
131,0.996400
132,0.944100
133,1.129100
134,1.387900
135,0.985500
136,0.952200
137,0.997900
138,0.740100
139,1.282700
140,1.388600
141,1.069300
142,1.128000
143,0.865200
144,1.162700
145,1.093000
146,0.904700
147,1.170300
148,1.057300
149,0.988300
150,1.216700
151,0.948900
152,1.170300
153,1.043500
154,0.836900
155,1.067900
156,1.096400
157,0.771000
158,1.160500
159,0.845300
160,0.842600
161,1.211700
162,0.853200
163,1.215700
164,1.070200
165,1.103000
166,1.096200
167,1.100700
168,0.955400
169,1.038800
170,1.105800
171,0.999700
172,0.992600
173,1.059300
174,0.810100
175,1.114000
176,1.495500
177,1.067700
178,1.248500
179,1.124200
180,1.064400
181,1.094800
182,0.787000
183,0.863000
184,1.083400
185,1.392100
186,1.121500
187,1.213400
188,1.124900
189,1.321000
190,0.847000
191,0.781400
192,1.000100
193,0.817800
194,1.193000
195,0.879000
196,1.182700
197,0.976800
198,0.885000
199,1.047300
200,1.123900
201,0.898800
202,1.115900
203,1.045500
204,0.983500
205,1.164600
206,1.205700
207,0.934200
208,1.107900
209,1.486100
210,0.721200
211,1.134300
212,0.678900
213,0.967600
214,1.214100
215,1.076100
216,1.088800
217,0.716900
218,0.994500
219,1.184700
220,0.813700
221,0.811300
222,0.952400
223,0.629700
224,0.747300
225,0.688700
226,0.979400
227,0.748300
228,0.993500
229,0.883200
230,1.173800
231,1.117300
232,0.882100
233,0.824900
234,0.961000
235,1.165200
236,0.934800
237,1.239100
238,1.361600
239,1.147900
240,1.079300
241,1.124800
242,0.927900
243,1.068700
244,0.858100
245,1.200700
246,0.744600
247,1.110300
248,0.947700
249,0.904700
250,1.026000
