Step,Loss
1,3.082300
2,3.785900
3,3.326300
4,2.464900
5,2.204600
6,1.711300
7,1.620900
8,1.567500
9,1.298300
10,1.555900
11,1.345600
12,1.621000
13,1.396400
14,1.527400
15,1.213700
16,1.447400
17,1.282200
18,1.282600
19,0.827400
20,1.356800
21,1.488000
22,1.214500
23,1.111300
24,1.013500
25,1.199300
26,1.502000
27,0.968300
28,1.218500
29,1.014300
30,1.202300
31,1.448600
32,1.194300
33,1.330700
34,1.275600
35,1.310200
36,1.182600
37,1.072700
38,1.330200
39,1.168100
40,1.303000
41,1.209600
42,1.306800
43,1.122700
44,1.208500
45,0.872700
46,0.846800
47,0.708500
48,1.015300
49,1.319400
50,1.381800
51,1.198300
52,0.897700
53,1.073900
54,1.076900
55,0.847100
56,0.988700
57,1.114800
58,1.205000
59,0.861600
60,0.973900
61,0.571400
62,0.788500
63,1.407600
64,0.984700
65,1.228500
66,1.170600
67,0.813000
68,1.264300
69,1.185900
70,1.222900
71,0.999900
72,1.193300
73,0.850700
74,1.117700
75,1.317700
76,1.196800
77,0.977100
78,1.116200
79,0.818500
80,1.060200
81,1.085900
82,0.870400
83,1.113000
84,1.224000
85,0.824000
86,0.838400
87,0.746900
88,1.252000
89,1.280800
90,1.155700
91,0.794400
92,1.079500
93,1.011900
94,0.950000
95,0.957000
96,0.865100
97,0.999700
98,0.852300
99,1.106800
100,0.978100
101,1.024600
102,0.999300
103,0.819400
104,1.428400
105,1.061200
106,0.960700
107,1.167100
108,1.091200
109,1.198900
110,1.309900
111,1.004600
112,1.170400
113,0.885300
114,1.013900
115,1.097500
116,0.921600
117,1.081800
118,1.077000
119,1.048200
120,0.973600
121,0.863600
122,1.087600
123,0.992800
124,1.226800
125,0.861300
126,0.916800
127,1.119600
128,1.065800
129,1.063700
130,1.384200
131,0.964900
132,0.938800
133,1.095900
134,1.371000
135,0.947900
136,0.930600
137,0.983100
138,0.713200
139,1.220300
140,1.306000
141,1.050200
142,1.145400
143,0.857000
144,1.069300
145,1.079900
146,0.851700
147,1.111900
148,0.984600
149,0.977100
150,1.202500
151,0.933400
152,1.142400
153,1.004200
154,0.797400
155,1.082600
156,1.061900
157,0.717100
158,1.113800
159,0.773300
160,0.831600
161,1.167300
162,0.853200
163,1.231600
164,1.017600
165,1.117500
166,1.067200
167,1.085600
168,0.975400
169,1.005200
170,1.074200
171,0.996400
172,0.965900
173,1.026000
174,0.779500
175,1.071800
176,1.412900
177,1.012100
178,1.167100
179,1.089400
180,1.020100
181,1.093600
182,0.791700
183,0.820200
184,1.063900
185,1.372000
186,1.113000
187,1.183300
188,1.078900
189,1.303800
190,0.845200
191,0.763600
192,0.965300
193,0.806100
194,1.188600
195,0.855000
196,1.158200
197,0.966800
198,0.831900
199,1.042200
200,1.143200
201,0.885300
202,1.044700
203,0.992800
204,0.963500
205,1.145100
206,1.180300
207,0.918900
208,1.027900
209,1.466400
210,0.716500
211,1.098500
212,0.629800
213,0.948200
214,1.181900
215,1.037600
216,1.064600
217,0.693900
218,0.977900
219,1.125100
220,0.775400
221,0.747400
222,0.905100
223,0.609600
224,0.755900
225,0.663800
226,0.932800
227,0.766000
228,0.947200
229,0.846500
230,1.110600
231,1.044400
232,0.876400
233,0.785600
234,0.920400
235,1.138400
236,0.940700
237,1.214700
238,1.303100
239,1.159500
240,1.074600
241,1.096200
242,0.944000
243,0.995200
244,0.824100
245,1.167200
246,0.721000
247,1.051500
248,0.906600
249,0.869500
250,0.970800
